Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal,Time,Species ,
2018.08.15.a,15-Aug-18,2018,Unprovoked,USA,Massachusetts,"Longnook Beach, Truro, Barnstable County",Swimming,M,61,"Lacerations to leg, hip and hand",Not Fatal,16h00,White shark,
2018.08.09,09-Aug-18,2018,Unprovoked,USA,Texas,"Crystal Beach, Galveston  County",Spearfishing,M,42,Laceration to right leg above the knee,Not Fatal,10h00,"Said to involve a bull shark, 5' to 6'",
2018.08.05.b,05-Aug-18,2018,Unprovoked,USA,North Carolina,"Bald Head Island, Brunswick County",Standing,M,16,Injury to calf,Not Fatal,,Said to involve a blacktip shark,
2018.08.05.a,05-Aug-18,2018,Unprovoked,USA,North Carolina,"Bald Head Island, Brunswick County",Swimming/Standing,F,a minor,Injury to right calf,Not Fatal,10h30,,
2018.08.03,03-Aug-18,2018,Unprovoked,EGYPT,Unknown,Marsa Alam,Snorkeling,M,42,FATAL,Fatal,15h00,Tiger shark,
2018.07.29,29-Jul-18,2018,Unprovoked,USA,Florida,"St Augustine, St Johns County",Surfing,M,14,Minor cuts to hand,Not Fatal,,,
2018.07.18.b,18-Jul-18,2018,Unprovoked,USA,New York,"Atlantique Beach, Fire Island, Suffolk County",Boogie Boarding,M,13,Minor puncture wounds to leg,Not Fatal,12h00,Sandtiger shark,
2018.07.18.a,18-Jul-18,2018,Unprovoked,USA,New York,"Sailors Haven, Fire Island, Suffolk County",Wading,F,12,Lacerations to lower leg,Not Fatal,11h15,Sandtiger shark,
2018.07.16.R,Reported 16-Jul-2018,2018,Invalid,USA,Texas,Galveston,Surfing,F,,Single laceration to right thigh inconsistent with shark bite,Not Fatal,18h00,,
2018.07.14.b,14-Jul-18,2018,Provoked,USA,California,"Trinidad Beach, Huboldt County",Wading,F,58, Surf washed the dying shark against her foot PROVOKED INCIDENT,Not Fatal,14h11,"Salmon shark, juvenile",
2018.07.14.a,14-Jul-18,2018,Under investigation,USA,Florida,"Playalinda Beach, Brevard County",Surfing,F,14,"Laceration to left thigh, possibly caused by surfboard ",Not Fatal,13h30,,
2018.07.11.b,13-Jul-18,2018,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Wading,M,17,Foot bitten,Not Fatal,15h40,,
2018.07.13.a,13-Jul-18,2018,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Surfing,M,30,Lacerations to left foot,Not Fatal,15h35,,
2018.07.11,11-Jul-18,2018,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor injury to foot,Not Fatal,11h30,,
2018.07.09.R,Reported 09-Jul-2018.,2018,Unprovoked,BAHAMAS,The Exuma Cays,Staniel Cay,Floating,F,19,Minor injury to wrist,Not Fatal,,"Nurse shark, 5'",
2018.07.07,07-Jul-18,2018,Invalid,USA,Florida,"John Pennekamp Coral Reef State Park, Monroe County",Snorkeling,M,,Injury to knee/lower leg,Not Fatal,13h30,"Injury most likely caused by barracuda, not a shark",
2018.07.02,02-Jul-18,2018,Unprovoked,USA,South Carolina,Myrtle Beach,Boogie boarding,F,11,"Minor injury, puncture marks to left lower leg",Not Fatal,14h40,,
2018.06.25,25-Jun-18,2018,Watercraft,USA,California,"Oceanside, San Diego County",Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",Not Fatal,18h00,White shark,
2018.06.18.b,18-Jun-18,2018,Provoked,USA,Florida,"Near the Bahia Honda Bridge, Monroe County",Fishing,M,,Injury to fingers while removing hook from shark          PROVOKED INCIDENT,Not Fatal,,Nurse shark,
2018.06.18.a,18-Jun-18,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,Not Fatal,14h00  -15h00,,
2018.06.09,09-Jun-18,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,Not Fatal,07h45,,
2018.06.08,08-Jun-18,2018,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,,Minor injury to lower leg,Not Fatal,,2 m shark,
2018.06.04,04-Jun-18,2018,Provoked,MEXICO,Colima,La Ticla,Free diving,M,,Lacerations to leg & hand PROVOKED INCIDENT,Not Fatal,,"Tiger shark, 3m",
2018.06.03.b,03-Jun-18,2018,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,M,,"No injury, board bitten",Not Fatal,,,
2018.06.03.a,03-Jun-18,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Fatal,Late afternoon,Tiger shark,
2018.06.00,Jun-1018,2018,Unprovoked,EGYPT,Unknown,Brothers Island,Scuba Diving,M,,Laceration to right thigh,Not Fatal,,Oceanic whitetip shark,
2018.05.27,27-May-18,2018,Provoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,Not Fatal,,"Lemon shark, 3'",
2018.05.26.b,26-May-18,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,Not Fatal,17h00,"Bull shark, 6'",
2018.05.26.a,26-May-18,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,Not Fatal,14h00,,
2018.05.24,24-May-18,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,Not Fatal,Morning,Grey reef shark,
2018.05.21,21-May-18,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,Not Fatal,,,
2018.05.13.b,13-May-18,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,Not Fatal,15h00,,
2018.05.00,May-18,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,Not Fatal,,"Tawny nurse shark, 2m",
2018.05.12,12-May-18,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",Not Fatal,11h00,,
2018.05.09,09-May-18,2018,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",Not Fatal,10h30,Shark involvement not confirmed,
2018.04.28.c,28-Apr-18,2018,Provoked,USA,Texas,Galveston Bay,Fishing,M,,Forearm bitten by hooked shark PROVOKED INCIDENT,Not Fatal,,Sandtiger shark',
2018.04.28.a,28-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",Not Fatal,16h50,,
2018.04.25.b,25-Apr-18,2018,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,No injury,Not Fatal,07h00,Questionable,
2018.04.25.a,25-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",Not Fatal,09h30,3 m shark,
2018.04.24,24-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",Not Fatal,Afternoon,"White shark, 3.5 m",
2018.04.22,22-Apr-18,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,33,"No injury, shark bit hole in ski",Not Fatal,09h40,"White shark, 2.5 m",
2018.04.19,19-Apr-18,2018,Unprovoked,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,Not Fatal,,6' shark,
2018.04.15.c,15-Apr-18,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",Not Fatal,,,
2018.04.15.b,15-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,Not Fatal,,,
2018.04.15.a,15-Apr-18,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,Not Fatal,08h00,,
2018.04.14,14-Apr-18,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,Not Fatal,09h30,Tiger shark,
2018.04.10.R,Reported 10-Apr-2018,2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,Not Fatal,,Shark involvement not confirmed,
2018.04.09,09-Apr-18,2018,Unprovoked,NEW CALEDONIA,Unknown,"Magenta Beach, Noumea",Foilboarding,M,17,"No injury, shark bit board",Not Fatal,17h00,2 m shark,
2018.04.05,05-Apr-18,2018,Unprovoked,BAHAMAS,Unknown,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",Not Fatal,18h00,Bull shark,
2018.04.03,03-Apr-18,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,Not Fatal,15h00,White shark,
2018.03.31,31-Mar-18,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,Not Fatal,09h30,"Tiger shark, 12'",
2018.03.14,14-Mar-18,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,Not Fatal,17h35,Wobbegong shark,
2018.03.09.b,09-Mar-18,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",Not Fatal,15h30,3.5 m shark,
2018.03.09.a,09-Mar-18,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",Not Fatal,07h30,1.8 m shark,
2018.02.24,24-Feb-18,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,Not Fatal,,Blacktip shark,
2018.02.23,23-Feb-18,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,Not Fatal,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",
2018.02.17,18-Feb-18,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Fishing,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",Not Fatal,Night,,
2018.02.15,15-Feb-18,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,Not Fatal,16h00,"Bull shark, 2 m",
2018.02.14,14-Feb-18,2018,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,"Collision with marine animal / No injury, no attack",Not Fatal,18h00,Possibly a wobbegong,
2018.02.11,11-Feb-18,2018,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,Not Fatal,,"Injury believed caused by an eel, not a shark",
2018.02.01,01-Feb-18,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",Not Fatal,,2m shark,
2018.01.28,28-Jan-18,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,18,Injuries to right leg,Not Fatal,08h00,Bull shark,
2018.01.21,21-Jan-18,2018,Unprovoked,NEW CALEDONIA,Unknown,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,Not Fatal,15h30,"Bull shark, 3 m ",
2018.01.14,14-Jan-18,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,Not Fatal,15h01,Grey reef shark. 2 m,
2018.01.13,13-Jan-18,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",Not Fatal,,"White shark, 3.5 m",
2018.01.12,12-Jan-18,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,Not Fatal,Late afternoon,small shark,
2018.01.05,05-Jan-18,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,Not Fatal,,Wobbegong shark?,
2017.12.31,31-Dec-17,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,Not Fatal,18h00,Tiger shark,
2017.12.30,30-Dec-17,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,Not Fatal,12h00,,
2017.12.09,09-Dec-17,2017,Unprovoked,BAHAMAS,Unknown,,Snorkeling,F,25,Minor injury to arm,Not Fatal,,Nurse shark. 5',
2017.11.24,24-Nov-17,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,Not Fatal,13h45,"White shark, 4.6 m",
2017.11.18,18-Nov-17,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,Not Fatal,Late afternoon,,
2017.11.13,13-Nov-17,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,Not Fatal,16h00,2 m shark,
2017.10.31.R,Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,Not Fatal,,Cookiecutter shark,
2017.10.28,28-Oct-17,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,Not Fatal,09h00,"Wobbegong shark, 1 m",
2017.10.26,26-Oct-17,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,,No injury but shark bit SUP,Not Fatal,15h00,,
2017.10.23.b,23-Oct-17,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,Not Fatal,17h00,,
2017.10.23.a,23-Oct-17,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,Not Fatal,08h00,,
2017.10.22,22-Oct-17,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,Not Fatal,Afternoon,"White shark, 4.5 m",
2017.10.21,21-Oct-17,2017,Watercraft,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",Not Fatal,09h00,2 m shark,
2017.10.18,18-Oct-17,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,Not Fatal,14h30,"Spinner shark, 4 to 5 feet",
2017.10.09,09-Oct-17,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,Not Fatal,18h30,"Tiger shark, 8 to 10 feet",
2017.10.05,05-Oct-17,2017,Unprovoked,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,Not Fatal,12h30,8' shark,
2017.10.01,01-Oct-17,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,"FATAL, but death was probably due to drowning",Fatal,,,
2017.09.25.b,25-Sep-17,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,Not Fatal,Morning,5' shark,
2017.09.25.a,25-Sep-17,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",Not Fatal,18h00,"White shark, 3.5 m",
2017.09.24.b,24-Sep-17,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",Not Fatal,15h30,Questionable,
2017.09.24.a,24-Sep-17,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,Not Fatal,14h00,4' to 5' shark,
2017.09.20,20-Sep-17,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,Not Fatal,Morning,,
2017.09.16.a,16-Sep-17,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,Not Fatal,16h30,,
2017.09.15.b,15-Sep-17,2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",Fatal,Afternoon,,
2017.09.14,Sep-17,2017,Watercraft,AUSTRALIA,Westerm Australia,Esperance,Fishing,,,"sharks rammed boats, no injury to occupants",Not Fatal,,"White shark, 3.5m",
2017.09.13,13-Sep-17,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,Not Fatal,18h45,5' to 6' shark,
2017.09.10.b,10-Sep-17,2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,Not Fatal,15h00,,
2017.09.10.a,10-Sep-17,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,Not Fatal,06h00,"White shark, 3 to 3.5m ",
2017.09.03.b,03-Sep-17,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,,FATAL,Fatal,Morning,,
2017.09.02.c,02-Sep-17,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,Not Fatal,,Nurse shark,
2017.09.02.b,02-Sep-17,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,Not Fatal,,,
2017.09.02.a,02-Sep-17,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,Not Fatal,10h44,,
2017.08.29,29-Aug-17,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",Not Fatal,10h30,"White shark, 3 m",
2017.08.27,27-Aug-17,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,Not Fatal,13h19,,
2017.08.26.a,26-Aug-17,2017,Watercraft,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,,"No injury, shark bit canoe",Not Fatal,,,
2017.08.23,23-Aug-17,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,Not Fatal,10h00,"White shark, 5' to 7'",
2017.08.18,18-Aug-17,2017,Unprovoked,BAHAMAS,Unknown,,Spearfishing,M,,Hand injured,Not Fatal,15h00,5' shark,
2017.08.10,10-Aug-17,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,Not Fatal,13h30,Possibly a juvenile blacktip shark,
2017.08.05,05-Aug-17,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,Not Fatal,,"Oceanic whitetip shark, 1.8 to 2 m",
2017.08.03,03-Aug-17,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,",,,,,Unknown,,,
2017.08.01,01-Aug-17,2017,Watercraft,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Fishing,M,,"No injury, bow of kayak bitten",Not Fatal,10h45,"White shark, 10'",
2017.07.31,31-Jul-17,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,Not Fatal,18h30,,
2017.07.29.c,29-Jul-17,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,Not Fatal,15h00,A small shark,
2017.07.29.a,29-Jul-17,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,F,12,Bite to left thigh / minor injury,Not Fatal,Afternoon,,
